run,phase,batch_size,z_dim,num_particles,lr,d_lr_mult,loss_type,gan_mode,reg_arm,reg_coeff,reg_every,reg_method,lr_anneal_start,lr_floor,beta1,epochs,steps_per_epoch,lambda_ep,ema_decay,fourier,log_interval,snapshot_interval,seed,prior_kind,sigma_rel,standardize,particle_lr_multiplier,particle_beta1,mog_metrics,mog_pass_criteria,reg_fd_eps,reg_sync_stats,fused_adam,final_samples,save_checkpoint,out_dir,modes,hq,bridge,kl_balance,share_min,share_max,width,width_audited_modes,modes_real,hq_real,bridge_real,kl_balance_real,share_min_real,share_max_real,width_real,width_audited_modes_real,modes_ratio,hq_ratio,bridge_ratio,width_ratio,kl_balance_ratio,share_min_ratio,share_max_ratio,d_med,r_eff,k_nbrs,raw_std,sigma,d0,bridge_heuristic,raw_std_ratio,r_eff_drift_flag,raw_std_drift_flag,purity_mean,purity_below_09,components_no_hq,components_unsampled,alloc_empty,bridge_i_mean,passed_strict,passed,passed_baseline,t_cover,d_gap,raw_std_live,raw_std_live_ratio,git_sha,total_seconds,passed_c0_mean,pass_coverage,pass_hq,pass_width,pass_balance
lr_n100_m0p3_s2,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,2,mog,0.125,True,0.3,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m0p3_s2,93,0.160635,0.839365,0.36393796901648995,0.0,5.633890497089675,5.944265198057542,97,100,0.9887900000000001,0.011210000000000001,0.0003148277328783014,0.9415548296402674,1.0624096117476918,0.9988371223060898,100,0.93,0.1624561332537748,74.87644959857269,5.951185699159412,1155.9908197705454,0.0,5.3029363013967625,0.782693835582329,0.1331043998759964,4.34,1.0088087320327759,0.1041799932718277,0.8334399461746216,0.0003739795424316407,1.0306504131035144,False,False,0.892827010477256,29,0,0,15,0.838850097281979,False,False,False,,0.2888845205307007,1.0088177919387817,1.0306596691652146,33b314481d098307d724527fd356444e3e4049a1,74.9119800189801,False,False,False,False,False
lr_n100_m0p3_s3,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,3,mog,0.125,True,0.3,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m0p3_s3,91,0.20386,0.7961400000000001,0.3833027661176489,0.0,5.660747571863043,5.396407860398424,97,100,0.98911,0.01089,0.00019250860896343998,0.9584373831019806,1.0504392838005885,0.998892710185982,100,0.91,0.2061044777628373,73.10743801652893,5.402389871674683,1991.0941551213605,0.0,5.388933619639513,0.8079809670361786,0.12216870154244988,5.3,1.009188175201416,0.09870998561382294,0.7896798849105835,0.00011298987118079933,1.0134318248026286,False,False,0.9301492161021534,22,0,0,17,0.7959415421835329,False,False,False,,0.2897067070007324,1.0092233419418335,1.013467139419654,33b314481d098307d724527fd356444e3e4049a1,74.72875727099017,False,False,False,False,False
lr_n100_m10p0_s1,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.125,True,10.0,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m10p0_s1,88,0.233245,0.7667550000000001,0.39471662364458215,0.0,5.725739029775558,4.912603421796198,94,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,0.88,0.23587619899984325,68.7364410578216,4.908560270432265,1497.0062436633639,0.0,5.4545938447961575,0.6509528253773931,0.16278630153157472,4.3,2.211456298828125,0.10596620291471481,0.8477296233177185,0.004579025873377961,2.1456054622780334,False,True,0.9730034925029809,8,0,0,16,0.7666810317834853,False,False,False,,0.26532673835754395,2.2119688987731934,2.146102798464457,33b314481d098307d724527fd356444e3e4049a1,75.00899105099961,False,False,False,False,False
lr_n100_m10p0_s2,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,2,mog,0.125,True,10.0,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m10p0_s2,93,0.318105,0.681895,0.4685335547569963,0.0,5.5453388032253494,4.469208456452145,98,100,0.9887900000000001,0.011210000000000001,0.0003148277328783014,0.9415548296402674,1.0624096117476918,0.9988371223060898,100,0.93,0.32171138462160825,60.82917038358608,4.474411649953248,1488.2219888109757,0.0,5.219586440020174,0.5238955147111438,0.19885643290774996,1.1,2.124192714691162,0.1041799932718277,0.8334399461746216,0.006558362758291509,2.1701835336976365,True,True,0.9703958628834224,12,0,0,14,0.6814175947420529,False,False,False,,0.23864704370498657,2.1240622997283936,2.1700502951252645,33b314481d098307d724527fd356444e3e4049a1,75.2844877979951,False,False,False,False,False
lr_n100_m10p0_s3,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,3,mog,0.125,True,10.0,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m10p0_s3,91,0.31307,0.68693,0.2671136313055231,0.0,4.960551953237295,3.813690584216839,94,100,0.98911,0.01089,0.00019250860896343998,0.9584373831019806,1.0504392838005885,0.998892710185982,100,0.91,0.31651686870014456,63.07897153351699,3.8179181260685895,1387.5412260459045,0.0,4.722359521142002,0.7531931448579582,0.13105534256082252,5.06,2.0370218753814697,0.09870998561382294,0.7896798849105835,0.00034428880439713727,2.0455875792626106,False,True,0.9975983984262707,1,0,0,10,0.6866995744761207,False,False,False,,0.18917447328567505,2.037715196609497,2.046283815915556,33b314481d098307d724527fd356444e3e4049a1,74.56603758400888,False,False,False,False,False
lr_n100_m1p0_s1,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.125,True,1.0,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m1p0_s1,87,0.24269000000000002,0.75731,0.4027509730448421,0.0,3.5374345873336357,4.861143824402008,90,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,0.87,0.2454277465123452,67.88973554459882,4.857143025111615,1527.4773981460596,0.0,3.3699176344045556,0.8070649075417757,0.13129824122507736,4.8,1.1067909002304077,0.10596620291471481,0.8477296233177185,0.00033605996699265293,1.0738338362790094,False,False,0.9236893503409823,22,0,0,18,0.7574517279649388,False,False,False,,0.31919848918914795,1.1069737672805786,1.0740112580720265,33b314481d098307d724527fd356444e3e4049a1,73.7596415799926,False,False,False,False,False
lr_n100_m1p0_s2,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,2,mog,0.125,True,1.0,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m1p0_s2,93,0.218005,0.7819950000000001,0.41823519121358255,0.0,5.4929932799706425,5.375452948242592,96,100,0.9887900000000001,0.011210000000000001,0.0003148277328783014,0.9415548296402674,1.0624096117476918,0.9988371223060898,100,0.93,0.22047654203622608,69.75869759143622,5.3817112201756006,1328.4572721401705,0.0,5.170315873681266,0.7816260451158247,0.1332862356913783,4.96,1.0962845087051392,0.1041799932718277,0.8334399461746216,0.0004362380685603923,1.1200201246267814,False,False,0.9157198605884788,29,0,0,14,0.7817225118097162,False,False,False,,0.28827059268951416,1.096206784248352,1.1199407173606146,33b314481d098307d724527fd356444e3e4049a1,75.2653783550195,False,False,False,False,False
lr_n100_m1p0_s3,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,3,mog,0.125,True,1.0,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m1p0_s3,91,0.25639,0.7436100000000001,0.423478714594365,0.0,5.544287998751901,4.7894517868144755,95,100,0.98911,0.01089,0.00019250860896343998,0.9584373831019806,1.0504392838005885,0.998892710185982,100,0.91,0.2592128276935831,68.28374655647383,4.794760976804742,2199.791047655377,0.0,5.278066123624151,0.7509532595949138,0.13144624429364618,4.1,1.0877670049667358,0.09870998561382294,0.7896798849105835,0.0002920682764451576,1.092341079584602,False,False,0.953433420449316,13,0,0,16,0.7435381696743241,False,False,False,,0.3399113416671753,1.087717056274414,1.0922909208573695,33b314481d098307d724527fd356444e3e4049a1,75.70313804701436,False,False,False,False,False
lr_n100_m3p0_s1,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,1,mog,0.125,True,3.0,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m3p0_s1,89,0.25067500000000004,0.749325,0.29498495667495794,0.0,4.005185997805924,4.5816223711984225,93,100,0.9888450000000001,0.011155000000000002,0.00026367065956829985,0.943525021616128,1.0497095095793578,1.0008236939430668,100,0.89,0.2535028240017394,67.17391304347825,4.577851622544674,1118.7629187029306,0.0,3.8155184470138717,0.7311824974072769,0.1449244248740413,5.24,1.5644415616989136,0.10596620291471481,0.8477296233177185,0.001468333851001884,1.5178569714331251,False,False,0.9592505539803284,12,0,0,13,0.7488760898953823,False,False,False,,0.33483171463012695,1.564669132232666,1.5180777655679816,33b314481d098307d724527fd356444e3e4049a1,75.38528313598363,False,False,False,False,False
lr_n100_m3p0_s2,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,2,mog,0.125,True,3.0,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m3p0_s2,92,0.26471500000000003,0.7352850000000001,0.43070752497179476,0.0,5.955461534102715,4.873100882513866,94,100,0.9887900000000001,0.011210000000000001,0.0003148277328783014,0.9415548296402674,1.0624096117476918,0.9988371223060898,100,0.92,0.2677160974524419,65.59188224799286,4.878774300321332,1368.073647877417,0.0,5.60561714450778,0.6255299709958302,0.1665467653068252,2.82,1.5784205198287964,0.1041799932718277,0.8334399461746216,0.0037798072247304682,1.6125948449460472,False,False,0.9621827557544854,13,0,0,13,0.734867106881901,False,False,False,,0.2746545076370239,1.57856285572052,1.6127402625469722,33b314481d098307d724527fd356444e3e4049a1,75.38462620100472,False,False,False,False,False
lr_n100_m3p0_s3,lr,256,4,100,0.0006,1.5,logistic,rp,b_cap,1.0,1,autograd,0.6,0.05,0.0,7,1000,1.0,0.995,2,100,1000000,3,mog,0.125,True,3.0,0.0,True,"{""hq_ratio_min"": 0.9988322835680561, ""kl_balance_max"": 0.03750414025263102, ""width_ratio_max"": 1.2090841395413692, ""width_ratio_min"": 0.7909158604586308}",0.05,True,False,200000,True,results/mog/stage1/lr_n100_m3p0_s3,94,0.25958000000000003,0.7404200000000001,0.35618387008557173,0.0,4.033438631635719,4.743101637279087,98,100,0.98911,0.01089,0.00019250860896343998,0.9584373831019806,1.0504392838005885,0.998892710185982,100,0.94,0.26243794926752334,67.99081726354454,4.74835944732841,1850.223073157294,0.0,3.8397637006132874,0.7354177017587952,0.13422302098216038,4.36,1.583326816558838,0.09870998561382294,0.7896798849105835,0.0004255452151390925,1.589984726727413,False,False,0.968348877286264,12,0,0,12,0.7401529034435752,False,False,False,,0.25108373165130615,1.5835319757461548,1.5901907486118214,33b314481d098307d724527fd356444e3e4049a1,74.91184092700132,False,False,False,False,False
