variant,arm,coeff,n_seeds,w1_exact_mean,w1_exact_std,w1_exact_median,w2_exact_mean,w2_exact_std,w1_sliced_mean,mode_recall_mean,mode_recall_std,modes_mean,hq_mean,hist_kl_mean,hist_js_mean,nll_mean,nll_std,collapse_rate,collapse_events_mean,steps_to_thresh_mean,steps_to_thresh_std,steps_to_thresh_censored,dominant_modulus_mean,dominant_modulus_std,dominant_modulus_max,w1_windowed_std_mean,dloss_fft_peak_mean,med_nr_mid_mean,med_nf_mid_mean,wall_clock_mean
main,d_asym,0.005,5,1.7852803399901511,0.8848966542860083,1.328097084996976,2.2238131977733926,0.9760282942931265,1.0543808102607728,0.594,0.22729716232280597,68.0,0.8508099794387818,0.6905325454725546,0.1815190394876458,231.00946076805272,19.630158911806898,0.0,0.0,7000.0,0.0,5,1.001335829443098,0.00018504760798899368,1.001527915925998,0.004288262460114275,67.11864290131777,1.9286110162734986,2.8324469089508058,102.87812142372131
main,b_cap,0.005,5,1.7945015042062031,0.8902101784544669,1.4953175658941562,2.220242065432667,0.9822776042564002,1.0573237121105195,0.5960000000000001,0.2610440575841557,69.0,0.8914599776268005,0.7006973913094804,0.18243185484392527,224.08235884191998,86.26698724598859,0.0,0.0,7000.0,0.0,5,1.0015822288474634,0.0005763478691159197,1.002573176118479,0.00041885582183159994,8.908805288993142,1.7639758467674256,2.396228003501892,113.23813338279724
main,f_none,0.0,5,2.0983285723405407,0.6230212326802873,1.9804328845860728,2.5683227934006387,0.6663672189602752,1.0854790806770325,0.34400000000000003,0.23363218956299664,47.4,0.8985499978065491,1.4339550827907073,0.329300115781945,222.99957896986058,242.71428663881755,0.0,0.0,7000.0,0.0,5,1.0545312092548547,0.051808251320329346,1.1509438820368005,0.00022155516818633553,36.27493520361203,18.943161010742188,43.94368085861206,81.09997925758361
lazy16,b_cap,1.0,5,0.44250670149775245,0.06785742151119536,0.4297400517192382,0.7280083456135149,0.05891013370905769,0.2130931794643402,0.9480000000000001,0.033105890714493685,100.0,0.9600399732589722,0.05693646541816644,0.01467470938783404,39.805923031670766,9.285426864494825,0.0,0.0,7000.0,0.0,5,1.0005328677092318,5.447571546558057e-05,1.000604815476032,0.00029314030578164756,40.27129682983524,0.5771822333335876,0.6658122539520264,113.22606592178344
lazy16,c_eikonal,0.1,5,0.4459302074931741,0.02898628354402595,0.4548428166087693,0.757316791316317,0.028559163058554198,0.2066318690776825,0.938,0.02039607805437111,100.0,0.9602499723434448,0.05386056363069787,0.013841258790585172,79.80026589187774,26.193186785515216,0.0,0.0,7000.0,0.0,5,1.000861985097678,0.00015328319924304442,1.001046815463287,0.00042216831935281237,120.94187272917154,0.9170616269111633,0.9680113792419434,167.4883170604706
c16th,b_cap,1.0,5,0.47219341286995026,0.09894699741789931,0.4370854961210244,0.7753726664062871,0.07823367762016831,0.23465638160705565,0.9480000000000001,0.011661903789690564,100.0,0.9462699890136719,0.04883264736444047,0.012605337318156764,79.84090730528327,6.800557853087731,0.0,0.0,7000.0,0.0,5,1.0009504568348362,0.00029104540267331307,1.001421568170827,0.0001620877279090907,36.74690636349315,0.8992937684059144,1.2373862266540527,160.53013968467712
c16th,c_eikonal,0.1,5,1.0127326703244082,0.425455283196568,0.8270559456577257,1.354990778673868,0.3645961010667274,0.5744665056467056,0.8480000000000001,0.07626270385975048,99.2,0.8716999769210816,0.12325978696145427,0.03171056470955581,347.6519004801887,88.34040885667694,0.0,0.0,7000.0,0.0,5,1.0015020983036202,0.00034473178388094895,1.0020505004565117,0.0006922918218366673,44.52211473226845,2.2519253730773925,2.742172050476074,276.4541741371155
lr0p5,a_r1r2,1.0,5,0.21367161486061229,0.025906968235184576,0.20135354468292999,0.3895178644902304,0.03823161402054907,0.05818523541092872,1.0,0.0,100.0,0.5623899817466735,0.008639680062452049,0.002168314538120667,24.04937938607064,0.8430025100558532,0.0,0.0,6840.0,320.0,4,1.0000573446634797,2.633157530232094e-05,1.0001052862040336,0.0003612481881456165,0.48504454702227096,0.04274478852748871,0.061112212389707564,210.6614155292511
lr0p5,b_cap,1.0,5,0.40341579813273365,0.04864698667240985,0.4193981036327024,0.7014912780001468,0.052060465211716395,0.1973807543516159,0.97,0.024494897427831768,100.0,0.9311299681663513,0.04446305548936351,0.011246265148820897,59.23987457344565,12.659904954805025,0.0,0.0,7000.0,0.0,5,1.0003573026283714,0.00013281169520482113,1.0006176913481604,0.00017374203535807254,5.188191341728215,0.5487167477607727,0.5187213182449341,258.3517913341522
lr0p5,a_r1r2,0.1,5,0.44024109603965006,0.05499628867536664,0.42597797315407626,0.7080802480504068,0.04829051481841742,0.23688677847385406,0.9359999999999999,0.01743559577416268,100.0,0.9090699791908264,0.05645670982671902,0.01445116945065924,19.250387336070435,4.248585734342885,0.0,0.0,7000.0,0.0,5,1.000245563029281,6.83471082815967e-05,1.0003654134359108,0.0001799394204156841,3.1845651436882156,0.22828926146030426,0.3013681352138519,198.29033756256104
lr0p5,d_asym,1.0,5,0.46845500735033996,0.020846019984763247,0.4731907312684134,0.7861645588983948,0.05011709992660383,0.2008691519498825,0.942,0.007483314773547889,100.0,0.9139399647712707,0.04924248754039966,0.01259203007794391,98.2328475235272,44.99319911476891,0.0,0.0,7000.0,0.0,5,1.0004747242760654,7.407115935101553e-05,1.0006069944388145,0.0002699429167515316,42.813016354215776,0.9487029910087585,0.930359709262848,191.42497763633727
lr0p5,c_eikonal,0.1,5,0.5061430441328689,0.07314876162646972,0.49057860213950605,0.8268614343355261,0.07352196210613242,0.2239701271057129,0.9119999999999999,0.035440090293338694,99.8,0.9301599860191345,0.07151922903893194,0.018913705725637338,90.13401115389311,25.70466634158105,0.0,0.0,7000.0,0.0,5,1.0004196236621676,2.37193171600535e-05,1.0004558163437214,0.00015249730785433076,39.95724815479093,1.0260438919067383,1.018921673297882,197.3427522659302
lr2p0,a_r1r2,0.3,5,0.1899141339350957,0.03604735352698997,0.1661059895154909,0.419678952142427,0.0431400792020802,0.0551877073943615,1.0,0.0,100.0,0.8414899706840515,0.010434765206858779,0.0026259768651838676,8.42465701172137,1.0850253056994237,0.0,0.0,6580.0,840.0,4,1.0003269429828732,0.00017178696580363056,1.0005285264812176,0.00022452983183599728,1.0267234505840404,0.11820966154336929,0.26285136938095094,164.75672588348388
lr2p0,a_r1r2,1.0,5,0.1991066190235377,0.020199893423077767,0.19334594774530267,0.38222230081836417,0.028604247443559414,0.04377353265881538,1.0,0.0,100.0,0.5381499767303467,0.011569912625715545,0.0029141341255634686,18.712292716174254,1.7888409916973493,0.0,0.0,6660.0,680.0,4,1.0001488019750013,4.209071347453578e-05,1.000211987078043,0.00047440504392353143,1.3814655594846488,0.04228929132223129,0.09227539151906967,192.19815349578857
lr2p0,a_r1r2,0.1,5,0.26078922167416574,0.04052990648555718,0.2420808876262505,0.5281726810652287,0.040887247982080904,0.12703965306282045,1.0,0.0,100.0,0.9426999807357788,0.021171523455089294,0.0052809039809933785,14.34522724016296,2.2156406396624058,0.0,0.0,7000.0,0.0,5,1.0007281605368266,0.0001591871412585345,1.0009789824549846,0.0001479097905850236,4.745700317354174,0.2720664322376251,0.5248290598392487,200.2862310409546
lr2p0,b_cap,1.0,5,0.2900779107182494,0.02400779972447723,0.28862513847713817,0.5734316048295084,0.01829880984549221,0.13964444100856782,0.998,0.0040000000000000036,100.0,0.9864499688148498,0.032119880524018596,0.007992287373562789,17.726002849973774,5.023854367559435,0.0,0.0,7000.0,0.0,5,1.0018418078242068,0.001427824450117812,1.0046371519978692,0.0004464301166689017,315.2053307818232,0.8065623283386231,0.9528561949729919,307.13885684013366
lr2p0,d_asym,1.0,5,0.33772719237431115,0.032776548800387474,0.33998480462197067,0.6271386156265562,0.02879609256806369,0.1742911159992218,0.9960000000000001,0.00489897948556636,100.0,0.9859199762344361,0.03701710289222319,0.009230892162539504,21.871909837079393,3.8389984222996456,0.0,0.0,7000.0,0.0,5,1.0014829678040194,0.0005244694230056387,1.0024622835884731,0.0010607663560744897,345.0886096882291,0.9185879349708557,1.0016640663146972,168.47171559333802
lr2p0,c_eikonal,0.1,5,0.41427069661342875,0.04090017245100569,0.40124204623173443,0.7000241686582023,0.040981451866570325,0.21504381597042083,0.984,0.016248076809271934,100.0,0.9527699708938598,0.043129174266283384,0.010873272914184079,42.82186059360699,6.9770223767145945,0.0,0.0,7000.0,0.0,5,1.0015330048613393,0.0005627272790274988,1.0023206337639508,0.0013006867800706137,318.3515110557729,1.136509394645691,1.3789852619171143,188.69683475494384
