offset,step,support_modes,max_particle_dist,logit_gap,paired_margin,grad_ratio_d_over_g
0,976,8,0.3834,0.0040,0.2395,5.116
0,981,8,0.1581,-0.0001,0.1469,10.723
0,986,8,0.1370,0.0021,0.1746,12.952
0,991,8,0.3173,0.0010,0.3148,25.724
0,996,8,0.1841,0.0040,0.0526,14.435
0,1001,8,0.1935,0.0026,0.2298,6.989
0,1006,8,0.1337,0.0028,0.2508,14.413
0,1011,8,0.1275,0.0012,0.2699,23.078
0,1016,8,0.6067,0.0049,0.1485,3.037
0,1021,8,0.2469,-0.0031,0.0836,16.654
0,1026,8,0.1706,0.0020,0.2041,6.697
0,1031,8,0.1169,0.0007,0.2236,11.521
0,1036,8,0.2521,0.0017,0.3828,32.971
0,1041,8,0.1724,0.0026,0.2160,12.915
0,1046,8,0.1283,0.0011,0.2259,31.462
0,1051,8,0.1304,0.0008,0.1023,26.628
0,1056,8,0.1260,0.0032,0.2169,19.425
0,1061,8,0.1309,0.0023,0.2481,20.094
0,1066,8,0.1234,0.0009,0.1248,21.341
0,1071,8,0.1054,0.0007,0.3009,41.276
0,1076,8,0.1408,0.0003,0.1883,12.077
0,1081,8,0.1131,0.0011,0.2283,94.578
0,1086,8,0.1266,0.0014,0.2071,16.867
0,1091,8,0.1348,0.0005,0.1899,58.941
0,1096,8,0.1095,0.0008,0.0586,75.164
0,1101,8,0.1071,0.0008,0.2251,40.841
0,1106,8,0.1131,0.0004,0.2240,28.629
0,1111,8,0.1216,0.0060,0.2205,78.255
0,1116,8,0.1239,0.0008,0.1280,37.519
0,1121,8,0.1221,0.0018,0.2174,15.453
0,1126,8,0.1150,0.0011,0.1648,47.732
0,1131,8,0.1128,0.0020,0.1449,39.214
0,1136,8,0.1093,0.0033,0.1931,22.844
0,1141,8,0.1040,0.0014,0.1582,52.350
0,1146,8,0.1001,0.0018,0.2253,50.553
0,1151,8,0.0967,0.0025,0.2371,63.684
0,1156,8,0.0996,0.0008,0.1888,19.222
0,1161,8,0.1074,0.0010,0.1246,59.107
0,1166,8,0.1095,0.0019,0.1230,35.106
0,1171,8,0.1130,0.0027,0.2599,27.823
0,1176,8,0.1157,0.0012,0.1541,64.442
0,1181,8,0.1183,0.0017,0.1923,22.514
0,1186,8,0.1176,0.0017,0.1917,29.487
0,1191,8,0.1190,0.0026,0.2044,17.220
0,1196,8,0.1190,0.0019,0.1383,20.059
101,1,0,2.9110,0.0442,0.0253,19.685
101,6,0,2.8659,0.0056,0.0218,4.718
101,11,0,2.9500,0.0246,0.0382,13.971
101,16,0,4.5701,0.2965,0.0843,32.584
